Product Name,Set,Card Number,Rarity,Variance,Grade,Card Condition,Quantity,Series,File Name
Corvisquire ,Darkness Ablaze,155,Uncommon,Normal,Ungraded,Near Mint,2,Sword and shield,Corvisquire 
Cubchoo ,Darkness Ablaze,48,Common,Normal,Ungraded,Near Mint,2,Sword and shield,Cubchoo 
Cufant ,Darkness Ablaze,131,Common,Normal,Ungraded,Near Mint,5,Sword and shield,Cufant 
Dartrix ,Darkness Ablaze,12,Uncommon,Normal,Ungraded,Near Mint,4,Sword and shield,Dartrix 
Dedenne ,Darkness Ablaze,78,Uncommon,Normal,Ungraded,Near Mint,4,Sword and shield,Dedenne 
Deino ,Darkness Ablaze,108,Common,Normal,Ungraded,Near Mint,7,Sword and shield,Deino 
Delcatty ,Darkness Ablaze,142,Rare,Normal,Ungraded,Near Mint,1,Sword and shield,Delcatty 
Diggersby ,Darkness Ablaze,96,Rare,Normal,Ungraded,Near Mint,3,Sword and shield,Diggersby 
Diglett ,Darkness Ablaze,84,Common,Normal,Ungraded,Near Mint,5,Sword and shield,Diglett 
Dracozolt ,Darkness Ablaze,65,Rare,Normal,Ungraded,Near Mint,1,Sword and shield,Dracozolt 
Ducklett ,Darkness Ablaze,148,Common,Normal,Ungraded,Near Mint,6,Sword and shield,Ducklett 
Dugtrio ,Darkness Ablaze,85,Uncommon,Normal,Ungraded,Near Mint,8,Sword and shield,Dugtrio 
Dunsparce ,Darkness Ablaze,137,Common,Normal,Ungraded,Near Mint,5,Sword and shield,Dunsparce 
Electrike ,Darkness Ablaze,58,Common,Normal,Ungraded,Near Mint,6,Sword and shield,Electrike 
Escavalier ,Darkness Ablaze,124,Rare,Normal,Ungraded,Near Mint,1,Sword and shield,Escavalier 
Familiar Bell ,Darkness Ablaze,161,Uncommon,Normal,Ungraded,Near Mint,3,Sword and shield,Familiar Bell 
Feebas ,Darkness Ablaze,38,Common,Normal,Ungraded,Near Mint,1,Sword and shield,Feebas 
Flaaffy ,Darkness Ablaze,56,Uncommon,Normal,Ungraded,Near Mint,4,Sword and shield,Flaaffy 
Fletchinder ,Darkness Ablaze,31,Uncommon,Normal,Ungraded,Near Mint,4,Sword and shield,Fletchinder 
Fletchling ,Darkness Ablaze,151,Common,Normal,Ungraded,Near Mint,5,Sword and shield,Fletchling 
Flygon ,Darkness Ablaze,91,Rare,Normal,Ungraded,Near Mint,1,Sword and shield,Flygon 
Furret ,Darkness Ablaze,136,Uncommon,Normal,Ungraded,Near Mint,1,Sword and shield,Furret 
Galarian Darmanitan ,Darkness Ablaze,28,Rare,Normal,Ungraded,Near Mint,1,Sword and shield,Galarian Darmanitan 
Galarian Darumaka ,Darkness Ablaze,43,Common,Normal,Ungraded,Near Mint,3,Sword and shield,Galarian Darumaka 
Galarian Mr. Mime ,Darkness Ablaze,35,Common,Normal,Ungraded,Near Mint,6,Sword and shield,Galarian Mr Mime 
Galarian Mr. Rime ,Darkness Ablaze,36,Rare,Normal,Ungraded,Near Mint,1,Sword and shield,Galarian Mr Rime 
Galarian Sirfetch'd ,Darkness Ablaze,98,Rare,Normal,Ungraded,Near Mint,2,Sword and shield,Galarian Sirfetchd 
Glimwood Tangle ,Darkness Ablaze,162,Uncommon,Normal,Ungraded,Near Mint,1,Sword and shield,Glimwood Tangle 
Golett ,Darkness Ablaze,76,Common,Normal,Ungraded,Near Mint,7,Sword and shield,Golett 
Gothita ,Darkness Ablaze,73,Common,Normal,Ungraded,Near Mint,4,Sword and shield,Gothita 
Gothitelle ,Darkness Ablaze,75,Rare,Normal,Ungraded,Near Mint,1,Sword and shield,Gothitelle 
Gothorita ,Darkness Ablaze,74,Uncommon,Normal,Ungraded,Near Mint,2,Sword and shield,Gothorita 
Granbull ,Darkness Ablaze,71,Rare,Normal,Ungraded,Near Mint,1,Sword and shield,Granbull 
Greedent ,Darkness Ablaze,153,Rare,Normal,Ungraded,Near Mint,3,Sword and shield,Greedent 
Grimer ,Darkness Ablaze,100,Common,Normal,Ungraded,Near Mint,9,Sword and shield,Grimer 
Heat R Energy ,Darkness Ablaze,174,Uncommon,Normal,Ungraded,Near Mint,8,Sword and shield,Heat R Energy 
Hiding D Energy ,Darkness Ablaze,175,Uncommon,Normal,Ungraded,Near Mint,3,Sword and shield,Hiding D Energy 
Hippopotas ,Darkness Ablaze,93,Common,Normal,Ungraded,Near Mint,5,Sword and shield,Hippopotas 
Hydreigon ,Darkness Ablaze,110,Rare,Normal,Ungraded,Near Mint,1,Sword and shield,Hydreigon 
Jigglypuff ,Darkness Ablaze,67,Common,Normal,Ungraded,Near Mint,5,Sword and shield,Jigglypuff 
Kabu ,Darkness Ablaze,163,Uncommon,Normal,Ungraded,Near Mint,1,Sword and shield,Kabu 
Karrablast ,Darkness Ablaze,8,Common,Normal,Ungraded,Near Mint,4,Sword and shield,Karrablast 
Klang ,Darkness Ablaze,126,Uncommon,Normal,Ungraded,Near Mint,4,Sword and shield,Klang 
Klink ,Darkness Ablaze,125,Common,Normal,Ungraded,Near Mint,10,Sword and shield,Klink 
Klinklang ,Darkness Ablaze,127,Rare,Normal,Ungraded,Near Mint,1,Sword and shield,Klinklang 
Lairon ,Darkness Ablaze,122,Uncommon,Normal,Ungraded,Near Mint,3,Sword and shield,Lairon 
Larvesta ,Darkness Ablaze,29,Common,Normal,Ungraded,Near Mint,5,Sword and shield,Larvesta 
Larvitar ,Darkness Ablaze,86,Common,Normal,Ungraded,Near Mint,2,Sword and shield,Larvitar 
Liepard ,Darkness Ablaze,107,Rare,Normal,Ungraded,Near Mint,1,Sword and shield,Liepard 
Lugia ,Darkness Ablaze,140,Rare,Normal,Ungraded,Near Mint,3,Sword and shield,Lugia 
Lunatone ,Darkness Ablaze,72,Uncommon,Normal,Ungraded,Near Mint,3,Sword and shield,Lunatone 
Manectric ,Darkness Ablaze,59,Rare,Normal,Ungraded,Near Mint,2,Sword and shield,Manectric 
Mareanie ,Darkness Ablaze,51,Common,Normal,Ungraded,Near Mint,5,Sword and shield,Mareanie 
Mareep ,Darkness Ablaze,55,Common,Normal,Ungraded,Near Mint,7,Sword and shield,Mareep 
Meltan ,Darkness Ablaze,129,Common,Normal,Ungraded,Near Mint,5,Sword and shield,Meltan 
Morelull ,Darkness Ablaze,79,Common,Normal,Ungraded,Near Mint,8,Sword and shield,Morelull 
Nickit ,Darkness Ablaze,112,Common,Normal,Ungraded,Near Mint,2,Sword and shield,Nickit 
Old PC ,Darkness Ablaze,164,Uncommon,Normal,Ungraded,Near Mint,2,Sword and shield,Old PC 
Panpour ,Darkness Ablaze,41,Common,Normal,Ungraded,Near Mint,5,Sword and shield,Panpour 
Pansage ,Darkness Ablaze,6,Common,Normal,Ungraded,Near Mint,11,Sword and shield,Pansage 
Pansear ,Darkness Ablaze,26,Common,Normal,Ungraded,Near Mint,5,Sword and shield,Pansear 
Paras ,Darkness Ablaze,3,Common,Normal,Ungraded,Near Mint,6,Sword and shield,Paras 
Parasect ,Darkness Ablaze,4,Uncommon,Normal,Ungraded,Near Mint,4,Sword and shield,Parasect 
Passimian ,Darkness Ablaze,97,Common,Normal,Ungraded,Near Mint,2,Sword and shield,Passimian 
Pokemon Breeder's Nurturing ,Darkness Ablaze,166,Uncommon,Normal,Ungraded,Near Mint,5,Sword and shield,Pokemon Breeders Nurturing 
Polteageist ,Darkness Ablaze,83,Uncommon,Normal,Ungraded,Near Mint,1,Sword and shield,Polteageist 
Pupitar ,Darkness Ablaze,87,Uncommon,Normal,Ungraded,Near Mint,5,Sword and shield,Pupitar 
Purrloin ,Darkness Ablaze,106,Common,Normal,Ungraded,Near Mint,5,Sword and shield,Purrloin 
Rare Fossil ,Darkness Ablaze,167,Uncommon,Normal,Ungraded,Near Mint,6,Sword and shield,Rare Fossil 
Relicanth ,Darkness Ablaze,40,Uncommon,Normal,Ungraded,Near Mint,6,Sword and shield,Relicanth 
Rookidee ,Darkness Ablaze,154,Common,Normal,Ungraded,Near Mint,4,Sword and shield,Rookidee 
Rose ,Darkness Ablaze,168,Uncommon,Normal,Ungraded,Near Mint,2,Sword and shield,Rose 
Rose Tower ,Darkness Ablaze,169,Uncommon,Normal,Ungraded,Near Mint,1,Sword and shield,Rose Tower 
Rowlet ,Darkness Ablaze,11,Common,Normal,Ungraded,Near Mint,1,Sword and shield,Rowlet 
Sentret ,Darkness Ablaze,135,Common,Normal,Ungraded,Near Mint,5,Sword and shield,Sentret 
Shelmet ,Darkness Ablaze,9,Common,Normal,Ungraded,Near Mint,4,Sword and shield,Shelmet 
Shiinotic ,Darkness Ablaze,80,Uncommon,Normal,Ungraded,Near Mint,4,Sword and shield,Shiinotic 
Simipour ,Darkness Ablaze,42,Uncommon,Normal,Ungraded,Near Mint,3,Sword and shield,Simipour 
Simisage ,Darkness Ablaze,7,Uncommon,Normal,Ungraded,Near Mint,7,Sword and shield,Simisage 
Simisear ,Darkness Ablaze,27,Uncommon,Normal,Ungraded,Near Mint,5,Sword and shield,Simisear 
Sinistea ,Darkness Ablaze,82,Common,Normal,Ungraded,Near Mint,4,Sword and shield,Sinistea 
Skarmory ,Darkness Ablaze,120,Common,Normal,Ungraded,Near Mint,7,Sword and shield,Skarmory 
Skitty ,Darkness Ablaze,141,Common,Normal,Ungraded,Near Mint,12,Sword and shield,Skitty 
Skwovet ,Darkness Ablaze,152,Common,Normal,Ungraded,Near Mint,5,Sword and shield,Skwovet 
Snubbull ,Darkness Ablaze,70,Common,Normal,Ungraded,Near Mint,4,Sword and shield,Snubbull 
Solrock ,Darkness Ablaze,92,Uncommon,Normal,Ungraded,Near Mint,4,Sword and shield,Solrock 
Spikemuth ,Darkness Ablaze,170,Uncommon,Normal,Ungraded,Near Mint,3,Sword and shield,Spikemuth 
Spinarak ,Darkness Ablaze,102,Common,Normal,Ungraded,Near Mint,4,Sword and shield,Spinarak 
Staraptor ,Darkness Ablaze,147,Rare,Normal,Ungraded,Near Mint,1,Sword and shield,Staraptor 
Staravia ,Darkness Ablaze,146,Uncommon,Normal,Ungraded,Near Mint,4,Sword and shield,Staravia 
Starly ,Darkness Ablaze,145,Common,Normal,Ungraded,Near Mint,4,Sword and shield,Starly 
Steenee ,Darkness Ablaze,15,Uncommon,Normal,Ungraded,Near Mint,3,Sword and shield,Steenee 
Struggle Gloves ,Darkness Ablaze,171,Uncommon,Normal,Ungraded,Near Mint,3,Sword and shield,Struggle Gloves 
Swanna ,Darkness Ablaze,149,Rare,Normal,Ungraded,Near Mint,1,Sword and shield,Swanna 
Talonflame ,Darkness Ablaze,32,Rare,Normal,Ungraded,Near Mint,2,Sword and shield,Talonflame 
Tauros ,Darkness Ablaze,134,Common,Normal,Ungraded,Near Mint,3,Sword and shield,Tauros 
Teddiursa ,Darkness Ablaze,138,Common,Normal,Ungraded,Near Mint,6,Sword and shield,Teddiursa 
Thievul ,Darkness Ablaze,113,Rare,Normal,Ungraded,Near Mint,1,Sword and shield,Thievul 
Torchic ,Darkness Ablaze,22,Common,Normal,Ungraded,Near Mint,5,Sword and shield,Torchic 
Toxapex ,Darkness Ablaze,52,Uncommon,Normal,Ungraded,Near Mint,4,Sword and shield,Toxapex 
Toxel ,Darkness Ablaze,62,Common,Normal,Ungraded,Near Mint,7,Sword and shield,Toxel 
Trapinch ,Darkness Ablaze,89,Common,Normal,Ungraded,Near Mint,5,Sword and shield,Trapinch 
Turbo Patch ,Darkness Ablaze,172,Uncommon,Normal,Ungraded,Near Mint,2,Sword and shield,Turbo Patch 
Ursaring ,Darkness Ablaze,139,Uncommon,Normal,Ungraded,Near Mint,6,Sword and shield,Ursaring 
Vanillish ,Darkness Ablaze,46,Uncommon,Normal,Ungraded,Near Mint,2,Sword and shield,Vanillish 
Vanillite ,Darkness Ablaze,45,Common,Normal,Ungraded,Near Mint,1,Sword and shield,Vanillite 
Vibrava ,Darkness Ablaze,90,Uncommon,Normal,Ungraded,Near Mint,4,Sword and shield,Vibrava 
Wimpod ,Darkness Ablaze,17,Common,Normal,Ungraded,Near Mint,3,Sword and shield,Wimpod 
Wishiwashi ,Darkness Ablaze,50,Common,Normal,Ungraded,Near Mint,8,Sword and shield,Wishiwashi 
Yell Horn ,Darkness Ablaze,173,Uncommon,Normal,Ungraded,Near Mint,1,Sword and shield,Yell Horn 
Zweilous ,Darkness Ablaze,109,Uncommon,Normal,Ungraded,Near Mint,5,Sword and shield,Zweilous 
Arctovish ,Darkness Ablaze,54,Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Arctovish 
Ariados ,Darkness Ablaze,103,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Ariados 
Bird Keeper ,Darkness Ablaze,159,Uncommon,Reverse Holofoil,Ungraded,Near Mint,2,Sword and shield,Bird Keeper 
Carnivine ,Darkness Ablaze,5,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Carnivine 
Corvisquire ,Darkness Ablaze,155,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Corvisquire 
Cubchoo ,Darkness Ablaze,48,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Cubchoo 
Cufant ,Darkness Ablaze,131,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Cufant 
Darkrai ,Darkness Ablaze,105,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Darkrai 
Dedenne ,Darkness Ablaze,78,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Dedenne 
Deino ,Darkness Ablaze,108,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Deino 
Dunsparce ,Darkness Ablaze,137,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Dunsparce 
Feebas ,Darkness Ablaze,38,Common,Reverse Holofoil,Ungraded,Near Mint,5,Sword and shield,Feebas 
Flaaffy ,Darkness Ablaze,56,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Flaaffy 
Fletchinder ,Darkness Ablaze,31,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Fletchinder 
Galarian Darumaka ,Darkness Ablaze,43,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Galarian Darumaka 
Gothita ,Darkness Ablaze,73,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Gothita 
Gothorita ,Darkness Ablaze,74,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Gothorita 
Hiding D Energy ,Darkness Ablaze,175,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Hiding D Energy 
Hippowdon ,Darkness Ablaze,94,Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Hippowdon 
Hoopa ,Darkness Ablaze,111,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Hoopa 
Kangaskhan ,Darkness Ablaze,133,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Kangaskhan 
Karrablast ,Darkness Ablaze,8,Common,Reverse Holofoil,Ungraded,Near Mint,2,Sword and shield,Karrablast 
Klink ,Darkness Ablaze,125,Common,Reverse Holofoil,Ungraded,Near Mint,2,Sword and shield,Klink 
Klinklang ,Darkness Ablaze,127,Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Klinklang 
Lairon ,Darkness Ablaze,122,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Lairon 
Larvitar ,Darkness Ablaze,86,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Larvitar 
Mareep ,Darkness Ablaze,55,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Mareep 
Meltan ,Darkness Ablaze,129,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Meltan 
Milotic ,Darkness Ablaze,39,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Milotic 
Old PC ,Darkness Ablaze,164,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Old PC 
Pansage ,Darkness Ablaze,6,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Pansage 
Pansear ,Darkness Ablaze,26,Common,Reverse Holofoil,Ungraded,Near Mint,2,Sword and shield,Pansear 
Passimian ,Darkness Ablaze,97,Common,Reverse Holofoil,Ungraded,Near Mint,2,Sword and shield,Passimian 
Polteageist ,Darkness Ablaze,83,Uncommon,Reverse Holofoil,Ungraded,Near Mint,2,Sword and shield,Polteageist 
Purrloin ,Darkness Ablaze,106,Common,Reverse Holofoil,Ungraded,Near Mint,2,Sword and shield,Purrloin 
Relicanth ,Darkness Ablaze,40,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Relicanth 
Rookidee ,Darkness Ablaze,154,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Rookidee 
Rowlet ,Darkness Ablaze,11,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Rowlet 
Sentret ,Darkness Ablaze,135,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Sentret 
Shelmet ,Darkness Ablaze,9,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Shelmet 
Shiinotic ,Darkness Ablaze,80,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Shiinotic 
Simipour ,Darkness Ablaze,42,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Simipour 
Simisage ,Darkness Ablaze,7,Uncommon,Reverse Holofoil,Ungraded,Near Mint,2,Sword and shield,Simisage 
Skarmory ,Darkness Ablaze,120,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Skarmory 
Skwovet ,Darkness Ablaze,152,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Skwovet 
Staraptor ,Darkness Ablaze,147,Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Staraptor 
Steenee ,Darkness Ablaze,15,Uncommon,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Steenee 
Swanna ,Darkness Ablaze,149,Rare,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Swanna 
Talonflame ,Darkness Ablaze,32,Rare,Reverse Holofoil,Ungraded,Near Mint,2,Sword and shield,Talonflame 
Tauros ,Darkness Ablaze,134,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Tauros 
Torchic ,Darkness Ablaze,22,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Torchic 
Toxel ,Darkness Ablaze,62,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Toxel 
Trapinch ,Darkness Ablaze,89,Common,Reverse Holofoil,Ungraded,Near Mint,1,Sword and shield,Trapinch 
Vanillite ,Darkness Ablaze,45,Common,Reverse Holofoil,Ungraded,Near Mint,2,Sword and shield,Vanillite 
Machamp ,Deck Exclusives,8,Holo Rare,1st Edition Holofoil,Ungraded,Near Mint,1,Miscellaneous,Machamp 
Decidueye (Cracked Ice Holo) ,Deck Exclusives,11,Holo Rare,Holofoil,Ungraded,Near Mint,1,Miscellaneous,Decidueye_CIH
Hoopa (XY Steam Siege) ,Deck Exclusives,51,Holo Rare,Holofoil,Ungraded,Near Mint,1,Miscellaneous,Hoopa_XY_SS
Incineroar (Cracked Ice Holo) ,Deck Exclusives,026/149,Holo Rare,Holofoil,Ungraded,Near Mint,1,Miscellaneous,Incineroar_CIH
Meganium (Cosmos Holo) ,Deck Exclusives,026/123,Holo Rare,Holofoil,Ungraded,Near Mint,1,Miscellaneous,Meganium_CH
Steelix (HGSS Unleashed) ,Deck Exclusives,024/095,Holo Rare,Holofoil,Ungraded,Near Mint,1,Miscellaneous,Steelix_HGSS_unleashed
Typhlosion (Cosmos Holo) ,Deck Exclusives,032/123,Holo Rare,Holofoil,Ungraded,Near Mint,1,Miscellaneous,Typhlosion_CH
Volcanion (Cracked Ice Holo) ,Deck Exclusives,025/114,Holo Rare,Holofoil,Ungraded,Near Mint,1,Miscellaneous,Volcanion_CIH
Ampharos (XY Steam Siege) ,Deck Exclusives,040/114,Rare,Normal,Ungraded,Near Mint,2,Miscellaneous,Ampharos_XY_SS
Arcanine (HeartGold & SoulSilver) ,Deck Exclusives,001/123,Rare,Normal,Ungraded,Near Mint,1,Miscellaneous,Arcanine_HGSS
Espeon (HGSS Undaunted) ,Deck Exclusives,002/090,Rare,Normal,Ungraded,Near Mint,1,Miscellaneous,Espeon_HGSS
Lightning Energy (No E) ,Deck Exclusives,109/109,Common,Normal,Ungraded,Near Mint,1,Miscellaneous,Lightning Energy
Lucario ,Deck Exclusives,079/172,Promo,Normal,Ungraded,Near Mint,2,Miscellaneous,Lucario 
Luxray ,Deck Exclusives,005/099,Rare,Normal,Ungraded,Near Mint,1,Miscellaneous,Luxray 
Nidoking ,Deck Exclusives,006/102,Rare,Normal,Ungraded,Near Mint,1,Miscellaneous,Nidoking 
Noivern ,Deck Exclusives,128/159,Rare,Normal,Ungraded,Near Mint,2,Miscellaneous,Noivern 
Professor's Research ,Deck Exclusives,147/172,Rare,Normal,Ungraded,Near Mint,1,Miscellaneous,Professors Research 
Swampert (DPPt Supreme Victors) ,Deck Exclusives,012/147,Rare,Normal,Ungraded,Near Mint,1,Miscellaneous,Swampert_SV
Umbreon ,Deck Exclusives,010/090,Rare,Normal,Ungraded,Near Mint,1,Miscellaneous,Umbreon 
Annihilape ,Destined Rivals,92,Rare,Holofoil,Ungraded,Near Mint,2,Scarlet and Violet,Annihilape 
Arboliva ex ,Destined Rivals,23,Double Rare,Holofoil,Ungraded,Near Mint,1,Scarlet and Violet,Arboliva_ex_fa
Arboliva ex ,Destined Rivals,207,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Scarlet and Violet,Arboliva_ex 
Arven's Greedent ,Destined Rivals,159,Rare,Holofoil,Ungraded,Near Mint,3,Scarlet and Violet,Arvens_Greedent 
Arven's Greedent ,Destined Rivals,205,Illustration Rare,Holofoil,Ungraded,Near Mint,1,Scarlet and Violet,Arvens_Greedent_ir
Blaziken ,Destined Rivals,42,Rare,Holofoil,Ungraded,Near Mint,1,Scarlet and Violet,Blaziken 
Cetitan ex ,Destined Rivals,65,Double Rare,Holofoil,Ungraded,Near Mint,1,Scarlet and Violet,Cetitan_ex 
Crustle ,Destined Rivals,12,Rare,Holofoil,Ungraded,Near Mint,2,Scarlet and Violet,Crustle 
Cynthia's Garchomp ex ,Destined Rivals,104,Double Rare,Holofoil,Ungraded,Near Mint,1,Scarlet and Violet,Cynthias_Garchomp_ex 
Cynthia's Roserade ,Destined Rivals,8,Rare,Holofoil,Ungraded,Near Mint,3,Scarlet and Violet,Cynthias_Roserade 
Electivire ex ,Destined Rivals,212,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Scarlet and Violet,Electivire_ex_fa
Electivire ex ,Destined Rivals,69,Double Rare,Holofoil,Ungraded,Near Mint,1,Scarlet and Violet,Electivire_ex 
Ethan's Magcargo ,Destined Rivals,36,Rare,Holofoil,Ungraded,Near Mint,1,Scarlet and Violet,Ethans_Magcargo 
Ethan's Typhlosion ,Destined Rivals,34,Rare,Holofoil,Ungraded,Near Mint,1,Scarlet and Violet,Ethans_Typhlosion 
Gorebyss ,Destined Rivals,56,Rare,Holofoil,Ungraded,Near Mint,2,Scarlet and Violet,Gorebyss 
Hydrapple ,Destined Rivals,18,Rare,Holofoil,Ungraded,Near Mint,2,Scarlet and Violet,Hydrapple 
Hydrapple ,Destined Rivals,188,Illustration Rare,Holofoil,Ungraded,Near Mint,1,Scarlet and Violet,Hydrapple_IR
Misty's Gyarados ,Destined Rivals,49,Rare,Holofoil,Ungraded,Near Mint,1,Scarlet and Violet,Mistys_Gyarados 
Rabsca ex ,Destined Rivals,25,Double Rare,Holofoil,Ungraded,Near Mint,1,Scarlet and Violet,Rabsca_ex 
Regirock ex ,Destined Rivals,101,Double Rare,Holofoil,Ungraded,Near Mint,1,Scarlet and Violet,Regirock_ex 
Team Rocket's Articuno ,Destined Rivals,51,Rare,Holofoil,Ungraded,Near Mint,2,Scarlet and Violet,Team_Rockets_Articuno 
Team Rocket's Moltres ex ,Destined Rivals,208,Ultra Rare,Holofoil,Ungraded,Near Mint,1,Scarlet and Violet,Team_Rockets_Moltres_ex_fa
Team Rocket's Moltres ex ,Destined Rivals,31,Double Rare,Holofoil,Ungraded,Near Mint,1,Scarlet and Violet,Team_Rockets_Moltres_ex 
Team Rocket's Sneasel ,Destined Rivals,128,Rare,Holofoil,Ungraded,Near Mint,2,Scarlet and Violet,Team_Rockets_Sneasel 
Team Rocket's Spidops ,Destined Rivals,20,Rare,Holofoil,Ungraded,Near Mint,1,Scarlet and Violet,Team_Rockets_Spidops 
Team Rocket's Tyranitar ,Destined Rivals,96,Rare,Holofoil,Ungraded,Near Mint,1,Scarlet and Violet,Team_Rockets_Tyranitar 
Team Rocket's Wobbuffet ,Destined Rivals,82,Rare,Holofoil,Ungraded,Near Mint,1,Scarlet and Violet,Team_Rockets_Wobbuffet 
Team Rocket's Zapdos ,Destined Rivals,70,Rare,Holofoil,Ungraded,Near Mint,2,Scarlet and Violet,Team_Rockets_Zapdos 
Zamazenta ,Destined Rivals,146,Rare,Holofoil,Ungraded,Near Mint,2,Scarlet and Violet,Zamazenta_ir
Zeraora ,Destined Rivals,78,Rare,Holofoil,Ungraded,Near Mint,2,Scarlet and Violet,Zeraora 
Abomasnow ,Destined Rivals,60,Uncommon,Normal,Ungraded,Near Mint,2,Scarlet and Violet,Abomasnow 
Applin ,Destined Rivals,16,Common,Normal,Ungraded,Near Mint,2,Scarlet and Violet,Applin 
Arcanine ,Destined Rivals,28,Uncommon,Normal,Ungraded,Near Mint,2,Scarlet and Violet,Arcanine 
Arrokuda ,Destined Rivals,62,Common,Normal,Ungraded,Near Mint,1,Scarlet and Violet,Arrokuda 
Arven's Maschiff ,Destined Rivals,138,Common,Normal,Ungraded,Near Mint,2,Scarlet and Violet,Arvens_Maschiff 
Arven's Sandwich ,Destined Rivals,161,Uncommon,Normal,Ungraded,Near Mint,2,Scarlet and Violet,Arvens_Sandwich 
Arven's Skwovet ,Destined Rivals,158,Common,Normal,Ungraded,Near Mint,2,Scarlet and Violet,Arvens_Skwovet 
Arven's Toedscool ,Destined Rivals,109,Common,Normal,Ungraded,Near Mint,3,Scarlet and Violet,Arvens_Toedscool 
Arven's Toedscruel ,Destined Rivals,110,Uncommon,Normal,Ungraded,Near Mint,2,Scarlet and Violet,Arvens_Toedscruel 
Barraskewda ,Destined Rivals,63,Uncommon,Normal,Ungraded,Near Mint,3,Scarlet and Violet,Barraskewda 
Breloom ,Destined Rivals,6,Common,Normal,Ungraded,Near Mint,2,Scarlet and Violet,Breloom 
Buizel ,Destined Rivals,57,Common,Normal,Ungraded,Near Mint,3,Scarlet and Violet,Buizel 
Cetoddle ,Destined Rivals,64,Common,Normal,Ungraded,Near Mint,4,Scarlet and Violet,Cetoddle 
Clamperl ,Destined Rivals,54,Common,Normal,Ungraded,Near Mint,2,Scarlet and Violet,Clamperl 
Combusken ,Destined Rivals,41,Common,Normal,Ungraded,Near Mint,1,Scarlet and Violet,Combusken 
Cornerstone Mask Ogerpon ,Destined Rivals,111,Uncommon,Normal,Ungraded,Near Mint,3,Scarlet and Violet,Cornerstone_Mask_Ogerpon 
Cynthia's Feebas ,Destined Rivals,52,Common,Normal,Ungraded,Near Mint,2,Scarlet and Violet,Cynthias_Feebas 
Cynthia's Gible ,Destined Rivals,102,Common,Normal,Ungraded,Near Mint,5,Scarlet and Violet,Cynthias_Gible 
Cynthia's Milotic ,Destined Rivals,53,Uncommon,Normal,Ungraded,Near Mint,3,Scarlet and Violet,Cynthias_Milotic 
